2024.06.24 18:22:05 INFO  web[][DbMigrations] #1208 'Add columns SNAPSHOTS.*COMPONENT_UUID': success | time=5ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1209 'Populate column SNAPSHOTS.*COMPONENT_UUID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1209 'Populate column SNAPSHOTS.*COMPONENT_UUID': success | time=5ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1210 'Create temporary indices for migration 1211'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1210 'Create temporary indices for migration 1211': success | time=3ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1211 'Clean orphan rows in SNAPSHOTS'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 snapshots processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1211 'Clean orphan rows in SNAPSHOTS': success | time=12ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1212 'Drop temporary indices for migration 1211'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1212 'Drop temporary indices for migration 1211': success | time=8ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1213 'Make column SNAPSHOTS.UUID not nullable'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1213 'Make column SNAPSHOTS.UUID not nullable': success | time=7ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1214 'Drop columns SNAPSHOTS.SNAPSHOT_*_ID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1214 'Drop columns SNAPSHOTS.SNAPSHOT_*_ID': success | time=7ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1215 'Drop columns SNAPSHOTS.*_ID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1215 'Drop columns SNAPSHOTS.*_ID': success | time=5ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1216 'Add column PROJECT_MEASURES.COMPONENT_UUID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1216 'Add column PROJECT_MEASURES.COMPONENT_UUID': success | time=5ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1217 'Populate column PROJECT_MEASURES.COMPONENT_UUID'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 measures processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1217 'Populate column PROJECT_MEASURES.COMPONENT_UUID': success | time=10ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1218 'Delete orphan measures without component'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 measures processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1218 'Delete orphan measures without component': success | time=7ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1219 'Make column PROJECT_MEASURES.COMPONENT_UUID not nullable'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1219 'Make column PROJECT_MEASURES.COMPONENT_UUID not nullable': success | time=4ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1220 'Drop column PROJECT_MEASURES.PROJECT_ID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1220 'Drop column PROJECT_MEASURES.PROJECT_ID': success | time=1ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1221 'Add index measures_component_uuid'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1221 'Add index measures_component_uuid': success | time=3ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1222 'Drop columns USERS.REMEMBER_TOKEN_*'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1222 'Drop columns USERS.REMEMBER_TOKEN_*': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1223 'Clean orphan rows and fix incorrect data in table PROJECTS'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 developers with incorrect project_uuid processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 snapshots with inconsistent scope or qualifier processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 usurper root components processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 snapshots with incorrect root processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1223 'Clean orphan rows and fix incorrect data in table PROJECTS': success | time=11ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1224 'Add columns PROJECTS.*_UUID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1224 'Add columns PROJECTS.*_UUID': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1225 'Populate columns PROJECTS.*_UUID'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1225 'Populate columns PROJECTS.*_UUID': success | time=4ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1226 'Clean orphan rows in table PROJECTS'...
2024.06.24 18:22:05 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 orphan projects processed (0 items/sec)
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1226 'Clean orphan rows in table PROJECTS': success | time=4ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1227 'Drop index projects_uuid'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1227 'Drop index projects_uuid': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1228 'Make columns PROJECTS.*_UUID not nullable'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1228 'Make columns PROJECTS.*_UUID not nullable': success | time=4ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1229 'Recreate index projects_uuid'...
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1229 'Recreate index projects_uuid': success | time=2ms
2024.06.24 18:22:05 INFO  web[][DbMigrations] #1230 'Drop index projects_root_id'...
